domain	phylum	class	order	family	genus	species	genbank	protein	prokka	description	oldname
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_groenlandica	CP053085.1	QJR36484	NA	flagellar motor stator protein MotA	QJR36484.1_flagellar_motor_stator_protein_MotA_[G
Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae	Dissulfurispira	Dissulfurispira_thermophila	AP022873.1	BCB96094	NA	flagellar motor stator protein MotA	BCB96094.1_flagellar_motor_stator_protein_MotA_[D
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum_rubrum_F11	CP003046.1	AEO48685	NA	MotA/TolQ/ExbB proton channel	AEO48685.1_MotA/TolQ/ExbB_proton_channel_[Rhodosp
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU26963	NA	Chemotaxis protein PomA	QDU26963.1_Chemotaxis_protein_PomA_[Anatilimnocol
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus_roseus_DSM_18391	CP003379.1	AFL88265	NA	biopolymer transport protein	AFL88265.1_biopolymer_transport_protein_[Terriglo
Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia_pneumoniae_TW-183	AE009440.1	AAP98742	NA	ExbB	AAP98742.1_ExbB_[Chlamydia_pneumoniae_TW-183]
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella_ovis_ATCC_25840	CP000709.1	ABQ62189	NA	chemotaxis motA protein	ABQ62189.1_chemotaxis_motA_protein_[Brucella_ovis
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	Sulfurospirillum_halorespirans_DSM_13726	CP017111.1	AOO66288	NA	ferric siderophore transport system biopolymer transport protein	"AOO66288.1_ferric_siderophore_transport_system,_b"
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum_fermentans	CP063849.1	QOY86330	NA	flagellar motor stator protein MotA	QOY86330.1_flagellar_motor_stator_protein_MotA_[P
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DK_1622	CP000113.1	ABF90492	NA	MotA/TolQ/ExbB proton channel family protein	ABF90492.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia_muridarum_str._Nigg	CP027206.1	AVM88605	NA	MotA/TolQ/ExbB proton channel family protein	AVM88605.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	Isosphaera_pallida_ATCC_43644	CP002353.1	ADV62354	NA	hypothetical protein Isop_1771	ADV62354.1_hypothetical_protein_Isop_1771_[Isosph
Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus_multivorans	CP019913.2	AQU99647	NA	MotA	AQU99647.1_MotA_[Desulfococcus_multivorans]
Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter_sulfurreducens_PCA	AE017180.2	AAR33363	NA	biopolymer transport membrane proton channel TolQ-related protein	AAR33363.1_biopolymer_transport_membrane_proton_c
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum_fermentans	CP063849.1	QOY88835	NA	flagellar motor stator protein MotA	QOY88835.1_flagellar_motor_stator_protein_MotA_[P
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	Sulfurospirillum_halorespirans_DSM_13726	CP017111.1	AOO66426	NA	TolQ proton channel family protein	AOO66426.1_TolQ_proton_channel_family_protein_[Su
Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_vibrioides_NA1000	CP001340.1	ACL94252	NA	flagellar motor stator protein MotA	ACL94252.1_flagellar_motor_stator_protein_MotA_[C
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula_cremea	CP036433.1	QDU95463	NA	MotA/TolQ/ExbB proton channel family protein	QDU95463.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Ereboglobus	Ereboglobus_luteus	CP023004.1	AWI09757	NA	flagellar motor protein MotA	AWI09757.1_flagellar_motor_protein_MotA_[Ereboglo
Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera_brasiliensis_DSM_5305	CP002546.1	ADY58081	NA	MotA/TolQ/ExbB proton channel	ADY58081.1_MotA/TolQ/ExbB_proton_channel_[Rubinis
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium_cellulosum	CP012670.1	AUX23472	NA	flagellar motor protein MotA	AUX23472.1_flagellar_motor_protein_MotA_[Sorangiu
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_oryzae_CBMB20	CP003811.1	AIQ88683	NA	TolQ protein	AIQ88683.1_TolQ_protein_[Methylobacterium_oryzae_
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis_ruber	CP007028.1	AHE96346	NA	TolQ	AHE96346.1_TolQ_[Thermocrinis_ruber]
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum_fermentans	CP063849.1	QOY89541	NA	MotA/TolQ/ExbB proton channel family protein	QOY89541.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chloroherpetonaceae	Chloroherpeton	Chloroherpeton_thalassium_ATCC_35110	CP001100.1	ACF14782	NA	MotA/TolQ/ExbB proton channel	ACF14782.1_MotA/TolQ/ExbB_proton_channel_[Chloroh
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_canifelinum	CP068114.1	QQS88496	NA	MotA/TolQ/ExbB proton channel family protein	QQS88496.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio sp. ZAP7		WP_142698804	NA	MotA/TolQ/ExbB proton channel family protein	WP_142698804.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus hansupus		WP_002638923	NA	MotA/TolQ/ExbB proton channel family protein	WP_002638923.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula baltica SH 1		CAD74695	NA	probable TolQ-type transport protein	CAD74695.1_probable_TolQ-type_transport_protein_[
Bacteria	Pseudomonadota	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	Bacteriovorax stolpii		WP_158649654	NA	MotA/TolQ/ExbB proton channel family protein	WP_158649654.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio sp. ZAP7		WP_142699820	NA	MotA/TolQ/ExbB proton channel family protein	WP_142699820.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819		CAL35725	NA	putative exbB/tolQ family transport protein	CAL35725.1_putative_exbB/tolQ_family_transport_pr
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas koreensis		WP_075151363	NA	MotA/TolQ/ExbB proton channel family protein	WP_075151363.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis subsp. subtilis str. 168		CAB14951	NA	sodium channel stator-force generator subunit of flagellar rotation	CAB14951.1_sodium_channel_stator-force_generator_
Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	Chthonomonas calidirosea T49		CCW34551	NA	flagellar motor stator protein MotA	CCW34551.1_flagellar_motor_stator_protein_MotA_[C
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella		WP_004115612	NA	MULTISPECIES tol-pal system-associated acyl-CoA thioesterase	WP_004115612.1_MULTISPECIES:_tol-pal_system-assoc
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium_cellulosum	CP012670.1	AUX22204	NA	flagellar motor protein MotA	AUX22204.1_flagellar_motor_protein_MotA_[Sorangiu
Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	Chthonomonas calidirosea T49		CCW35905	NA	Flagellar motor component	CCW35905.1_Flagellar_motor_component_[Chthonomona
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus stipitatus		WP_015352623	NA	MotA/TolQ/ExbB proton channel family protein	WP_015352623.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula baltica SH 1		CAD73493	NA	probable tolQ protein	CAD73493.1_probable_tolQ_protein_[Rhodopirellula_
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio reynosensis		WP_243535503	NA	MotA/TolQ/ExbB proton channel family protein	WP_243535503.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum magneticum		WP_011385579	NA	protein TolQ	WP_011385579.1_protein_TolQ_[Magnetospirillum_mag
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas piscis		WP_166411885	NA	MotA/TolQ/ExbB proton channel family protein	WP_166411885.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio reynosensis		WP_243536035	NA	protein TolQ	WP_243536035.1_protein_TolQ_[Bdellovibrio_reynose
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium		WP_012022552	NA	MULTISPECIES MotA/TolQ/ExbB proton channel family protein	WP_012022552.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus hansupus		WP_021781170	NA	MotA/TolQ/ExbB proton channel family protein	WP_021781170.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens		SNW07143	NA	biopolymer transport protein ExbB	SNW07143.1_biopolymer_transport_protein_ExbB_[Eik
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella		WP_004100332	NA	MULTISPECIES Tol-Pal system protein TolQ	WP_004100332.1_MULTISPECIES:_Tol-Pal_system_prote
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia glycaniphila		SEH78546	NA	mota/tolq/exbb proton channel family	SEH78546.1_mota/tolq/exbb_proton_channel_family_[
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula baltica SH 1		CAD76944	NA	probable TolQ	CAD76944.1_probable_TolQ_[Rhodopirellula_baltica_
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula baltica SH 1		CAD76169	NA	chemotaxis pomA protein	CAD76169.1_chemotaxis_pomA_protein_[Rhodopirellul
Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira pilosicoli WesB		CCG56832	NA	biopolymer transport protein ExbB	CCG56832.1_biopolymer_transport_protein_ExbB_[Bra
Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	Chthonomonas calidirosea T49		CCW36281	NA	Biopolymer transport proteins	CCW36281.1_Biopolymer_transport_proteins_[Chthono
Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira pilosicoli WesB		CCG57546	NA	flagellar Motor Protein MotA	CCG57546.1_flagellar_Motor_Protein_MotA_[Brachysp
Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis subsp. subtilis str. 168		CAB13242	NA	motility protein A MotA component of the H+-coupled stator	CAB13242.1_motility_protein_A;_MotA_component_of_
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio sp. ZAP7		WP_142700246	NA	MotA/TolQ/ExbB proton channel family protein	WP_142700246.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfobacterales	Desulfocapsaceae	Desulfotalea	Desulfotalea psychrophila LSv54		CAG37702	NA	related to biopolymer transport protein (ExbB)	CAG37702.1_related_to_biopolymer_transport_protei
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio sp. ZAP7		WP_246845700	NA	MotA/TolQ/ExbB proton channel family protein	WP_246845700.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira japonica		SLM48220	NA	Biopolymer transport protein ExbB	SLM48220.1_Biopolymer_transport_protein_ExbB_[Nit
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio exovorus		WP_015469247	NA	MotA/TolQ/ExbB proton channel family protein	WP_015469247.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus stipitatus		WP_015345893	NA	MotA/TolQ/ExbB proton channel family protein	WP_015345893.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Cereibacter	Cereibacter sphaeroides		WP_002721884	NA	flagellar motor stator protein MotA	WP_002721884.1_flagellar_motor_stator_protein_Mot
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Rhizobacter	Rhizobacter_gummiphilus	CP024645.1	ATU64277	NA	MotA/TolQ/ExbB proton channel family protein	ATU64277.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Chlamydiae	Chlamydiia	Chlamydiales			Chlamydiales bacterium SCGC AB-751-O23		SCA58681	NA	Motility protein A	SCA58681.1_Motility_protein_A_[Chlamydiales_bacte
Bacteria	Verrucomicrobia				Methylacidimicrobium	Methylacidimicrobium_sp._B4	CP066203.1	QSR84055	NA	MotA/TolQ/ExbB proton channel family protein	QSR84055.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Betaproteobacteria			Candidatus Accumulibacter	Candidatus_Accumulibacter_similis	CP054595.1	QKS29226	NA	MAG flagellar motor stator protein MotA	QKS29226.1_MAG:_flagellar_motor_stator_protein_Mo
Bacteria	Cyanobacteria		Pseudanabaenales	Leptolyngbyaceae	Leptothermofonsia	Leptothermofonsia_sichuanensis_PKUAC-SCTE412	CP072600.1	QZZ22141	NA	MotA/TolQ/ExbB proton channel family protein	QZZ22141.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Rhizobacter	Rhizobacter gummiphilus	CP024645.1	ATU67891	NA	MotA/TolQ/ExbB proton channel family protein	ATU67891.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Cyanobacteria		Pseudanabaenales	Leptolyngbyaceae	Leptothermofonsia	Leptothermofonsia sichuanensis PKUAC-SCTE412	CP072600.1	QZZ21680	NA	MotA/TolQ/ExbB proton channel family protein	QZZ21680.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Cyanobacteria		Pseudanabaenales	Leptolyngbyaceae	Leptothermofonsia	Leptothermofonsia sichuanensis PKUAC-SCTE412	CP072600.1	QZZ23337	NA	MotA/TolQ/ExbB proton channel family protein	QZZ23337.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Verrucomicrobia	Spartobacteria			Candidatus Xiphinematobacter	Candidatus Xiphinematobacter sp. Idaho Grape	CP012665.1	ALJ56692	NA	colicin uptake protein TolQ	ALJ56692.1_colicin_uptake_protein_TolQ_[Candidatu
Bacteria	Pseudomonadota	Betaproteobacteria			Candidatus Accumulibacter	Candidatus Accumulibacter similis	CP054595.1	QKS29102	NA	MAG MotA/TolQ/ExbB proton channel family protein	QKS29102.1_MAG:_MotA/TolQ/ExbB_proton_channel_fam
Bacteria	Verrucomicrobia				Methylacidimicrobium	Methylacidimicrobium sp. B4	CP066203.1	QSR84464	NA	MotA/TolQ/ExbB proton channel family protein	QSR84464.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Rhizobacter	Rhizobacter gummiphilus	CP024645.1	ATU66302	NA	flagellar motor stator protein MotA	ATU66302.1_flagellar_motor_stator_protein_MotA_[R
Bacteria	Verrucomicrobia				Methylacidimicrobium	Methylacidimicrobium sp. B4	CP066203.1	QSR85862	NA	MotA/TolQ/ExbB proton channel family protein	QSR85862.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Lentisphaerae	Lentisphaeria	Victivallales			Victivallales bacterium CCUG 44730	CP027227.1	AVM45096	NA	hypothetical protein C5Q97_10465	AVM45096.1_hypothetical_protein_C5Q97_10465_[Vict
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia glycaniphila		SEI00245	NA	mota/tolq/exbb proton channel family	SEI00245.1_mota/tolq/exbb_proton_channel_family_[
Bacteria	Verrucomicrobia				Methylacidimicrobium	Methylacidimicrobium sp. B4	CP066203.1	QSR84237	NA	MotA/TolQ/ExbB proton channel family protein	QSR84237.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Betaproteobacteria			Candidatus Accumulibacter	Candidatus Accumulibacter similis	CP054595.1	QKS27990	NA	MAG protein TolQ	QKS27990.1_MAG:_protein_TolQ_[Candidatus_Accumuli
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula baltica SH 1		CAD71937	NA	probable biopolymer transport ExbB-related protein	CAD71937.1_probable_biopolymer_transport_ExbB-rel
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio reynosensis		WP_243536063	NA	flagellar motor protein	WP_243536063.1_flagellar_motor_protein_[Bdellovib
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio exovorus		WP_015470752	NA	flagellar motor stator protein MotA	WP_015470752.1_flagellar_motor_stator_protein_Mot
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus stipitatus		WP_015350662	NA	MotA/TolQ/ExbB proton channel family protein	WP_015350662.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas koreensis		WP_075153023	NA	MotA/TolQ/ExbB proton channel family protein	WP_075153023.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Tepidimonas	Tepidimonas taiwanensis	CP083911.1	UBQ05954	NA	MotA/TolQ/ExbB proton channel family protein	UBQ05954.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula baltica SH 1		CAD71788	NA	probable biopolymer transport protein	CAD71788.1_probable_biopolymer_transport_protein_
Archaea	Euryarchaeota					Euryarchaeota archaeon	RFHV01001225.1	RMG20999	NA	MAG motility protein A	RMG20999.1_motility_protein_A_[Euryarchaeota_arch
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas koreensis		WP_075152920	NA	DUF2341 domain-containing protein	WP_075152920.1_DUF2341_domain-containing_protein_
Bacteria	Fibrobacterota					unclassified Fibrobacterota	CP064986.1	QQS07765	NA		QQS07765.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Fibrobacterota					unclassified Fibrobacterota		QQS07318	NA		QQS07318.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Fibrobacterota					unclassified Fibrobacterota	CP064986.1	QQS05761	NA		QQS05761.1_flagellar_motor_stator_protein_MotA_[F
Bacteria	Fibrobacterota					unclassified Fibrobacterota	CP064986.1	QQS05379	NA		QQS05379.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Elusimicrobiota					unclassified Elusimicrobiota	CP096137.1	UPT73159	NA		UPT73159.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Elusimicrobiota					unclassified Elusimicrobiota	CP096137.1	UPT72618	NA		UPT72618.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Rhizobacter	Rhizobacter gummiphilus	CP024645.1	ATU66653	NA	protein TolQ	ATU66653.1_protein_TolQ_[Rhizobacter_gummiphilus]
Bacteria	Pseudomonadota	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	Bacteriovorax stolpii		WP_102244586	NA	MotA/TolQ/ExbB proton channel family protein	WP_102244586.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum gryphiswaldense MSR-1 v2		CDK97637	NA	membrane spanning protein in TonB-ExbB-ExbD complex	CDK97637.1_membrane_spanning_protein_in_TonB-ExbB
Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira santarosai	CP006695.1	EKT87439.2	NA		EKT87439.2_TolQ_transporter_[Leptospira_santarosa
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio exovorus		WP_015471027	NA	MotA/TolQ/ExbB proton channel family protein	WP_015471027.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfobacterales	Desulfocapsaceae	Desulfotalea	Desulfotalea psychrophila LSv54		CAG37138	NA	related to biopolymer transport protein (TolQ)	CAG37138.1_related_to_biopolymer_transport_protei
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio reynosensis		WP_243537232	NA	flagellar motor stator protein MotA	WP_243537232.1_flagellar_motor_stator_protein_Mot
Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfobacterales	Desulfocapsaceae	Desulfotalea	Desulfotalea psychrophila LSv54		CAG37394	NA	related to flagellar motor apparatus (MotA)	CAG37394.1_related_to_flagellar_motor_apparatus_(
Bacteria	Acidobacteria	Blastocatellia			Chloracidobacterium	Chloracidobacterium thermophilum	CP072632.1	QUV79767	NA	MotA/TolQ/ExbB proton channel family protein	QUV79767.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum gryphiswaldense MSR-1 v2		CDK98316	NA	putative Motility protein A	CDK98316.1_putative_Motility_protein_A_[Magnetosp
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio sp. ZAP7		WP_142698575	NA	protein TolQ	WP_142698575.1_protein_TolQ_[Bdellovibrio_sp._ZAP
Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Parachlamydia	Parachlamydia acanthamoebae UV-7		CCB87689	NA	putative uncharacterized protein	CCB87689.1_putative_uncharacterized_protein_[Para
Bacteria	Cyanobacteria		Oscillatoriales	Microcoleaceae	Oxynema	Oxynema aestuarii AP17	CP051167.1	QIZ70555	NA	MotA/TolQ/ExbB proton channel family protein	QIZ70555.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Cereibacter	Cereibacter sphaeroides		WP_002720852	NA	protein TolQ	WP_002720852.1_protein_TolQ_[Cereibacter_sphaeroi
Bacteria	Fibrobacterota					unclassified Fibrobacterota	CP064986.1	QQS07007	NA		QQS07007.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Elusimicrobiota					unclassified Elusimicrobiota	CP096137.1	UPT75425	NA		UPT75425.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Betaproteobacteria			Candidatus Accumulibacter	Candidatus Accumulibacter similis	CP054595.1	QKS29082	NA	MAG MotA/TolQ/ExbB proton channel family protein	QKS29082.1_MAG:_MotA/TolQ/ExbB_proton_channel_fam
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum magneticum		WP_011384959	NA	flagellar motor stator protein MotA	WP_011384959.1_flagellar_motor_stator_protein_Mot
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Rhizobacter	Rhizobacter gummiphilus	CP024645.1	ATU65616	NA	MotA/TolQ/ExbB proton channel family protein	ATU65616.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium		WP_012022584	NA	MULTISPECIES MotA/TolQ/ExbB proton channel family protein	WP_012022584.1_MotA/TolQ/ExbB_proton_channel_fami
Bacteria	Cyanobacteria		Oscillatoriales	Microcoleaceae	Microcoleus	Microcoleus vaginatus PCC 9802	CP031740.1	UNU18280	NA	MotA/TolQ/ExbB proton channel family protein	UNU18280.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas koreensis		WP_066577925	NA	flagellar motor stator protein MotA	WP_066577925.1_flagellar_motor_stator_protein_Mot
